x1 x2 t
63.26 76.47 1
48.69 44.47 1
80.61 57.08 1
110.75 25.65 1
115.78 24.79 1
54.23 47.30 1
105.55 74.07 1
70.81 41.98 1
85.19 87.45 1
56.34 75.63 1
76.94 59.28 1
71.23 56.01 1
85.74 36.29 1
70.33 42.80 1
77.68 21.23 1
86.88 79.43 1
83.84 63.85 1
101.73 43.63 1
88.52 59.87 1
94.20 66.04 1
92.71 32.93 1
92.51 87.86 1
85.84 28.87 1
47.29 69.45 1
71.40 40.74 1
87.52 50.14 1
107.47 81.45 1
73.71 69.01 1
101.78 53.36 1
73.85 42.84 1
92.61 72.31 1
82.26 59.89 1
71.36 46.16 1
98.29 54.66 1
54.59 65.21 1
99.94 62.36 1
71.10 79.36 1
103.38 69.11 1
107.18 74.49 1
88.30 58.65 1
67.35 67.98 1
34.97 36.05 1
82.63 14.19 1
58.51 111.26 1
92.53 88.67 1
82.71 67.98 1
55.67 55.61 1
59.10 27.35 1
75.84 54.06 1
102.22 56.32 1
86.78 87.52 1
82.98 23.03 1
71.10 57.43 1
83.62 16.72 1
69.66 53.04 1
102.94 66.19 1
77.34 56.53 1
87.70 53.20 1
100.19 37.81 1
76.64 81.82 1
112.35 77.35 1
63.18 54.28 1
74.95 55.99 1
44.15 60.53 1
98.38 52.80 1
89.93 71.40 1
82.28 41.08 1
45.89 51.96 1
81.21 95.40 1
52.61 22.25 1
91.54 69.92 1
63.45 23.08 1
81.89 47.88 1
98.73 53.63 1
98.08 64.97 1
33.41 40.02 1
59.20 43.31 1
41.37 72.30 1
70.22 79.76 1
84.60 107.49 1
100.63 60.36 1
74.35 72.45 1
99.98 65.74 1
70.00 35.01 1
83.68 41.37 1
77.48 42.68 1
95.58 57.15 1
94.32 51.48 1
80.90 86.11 1
116.61 55.62 1
74.40 51.76 1
80.06 43.78 1
77.55 38.65 1
75.94 57.67 1
66.47 37.92 1
81.63 31.26 1
81.21 44.07 1
76.55 63.18 1
120.21 47.46 1
72.38 28.44 1
27.74 145.17 -1
1.31 105.65 -1
31.74 106.87 -1
26.34 87.51 -1
-8.06 83.86 -1
3.64 69.17 -1
-0.18 84.87 -1
11.41 63.02 -1
16.76 75.80 -1
-3.10 106.89 -1
55.31 118.74 -1
14.46 119.89 -1
35.78 69.87 -1
35.75 99.52 -1
21.38 94.45 -1
21.50 68.18 -1
-21.25 105.27 -1
23.15 118.98 -1
-25.74 88.05 -1
24.16 104.63 -1
14.99 73.31 -1
34.98 84.88 -1
18.87 114.37 -1
-2.49 54.83 -1
26.44 63.16 -1
-2.47 111.08 -1
49.18 86.79 -1
27.58 107.92 -1
29.29 36.31 -1
22.22 101.80 -1
14.80 95.11 -1
60.43 91.86 -1
50.77 86.94 -1
35.27 98.61 -1
24.87 103.35 -1
11.73 92.24 -1
29.32 102.93 -1
14.29 87.13 -1
13.54 74.51 -1
28.51 98.58 -1
5.85 87.35 -1
-23.29 100.18 -1
59.00 112.92 -1
12.63 84.87 -1
-6.43 83.48 -1
5.13 93.81 -1
15.41 108.70 -1
-9.21 133.93 -1
11.79 85.95 -1
25.34 55.38 -1
6.85 96.49 -1
15.34 63.22 -1
8.68 92.07 -1
22.37 106.55 -1
34.77 103.60 -1
-30.95 50.28 -1
21.28 74.93 -1
55.28 83.12 -1
70.66 82.61 -1
25.94 103.86 -1
0.69 91.59 -1
-1.66 94.55 -1
33.60 115.65 -1
-0.62 107.46 -1
15.23 125.38 -1
7.24 55.98 -1
80.98 105.75 -1
51.23 57.60 -1
15.88 72.80 -1
23.95 113.38 -1
47.90 126.74 -1
33.17 86.18 -1
44.77 76.05 -1
24.55 92.57 -1
3.80 114.25 -1
22.61 62.73 -1
40.43 91.45 -1
-9.28 100.53 -1
11.45 104.74 -1
-14.71 107.47 -1
50.26 69.36 -1
5.09 98.34 -1
62.62 76.62 -1
37.17 89.35 -1
50.17 107.28 -1
44.24 100.28 -1
0.62 122.83 -1
18.72 99.69 -1
14.91 106.94 -1
23.51 103.50 -1
44.56 96.28 -1
28.01 101.95 -1
36.61 74.96 -1
10.66 77.52 -1
1.87 114.79 -1
-4.40 132.30 -1
64.26 123.22 -1
37.31 108.32 -1
6.83 71.53 -1
38.88 106.11 -1
