x1 x2 t
9.02 7.51 -1
19.11 14.19 -1
16.24 6.59 -1
13.07 6.84 -1
14.20 13.88 -1
11.29 10.41 -1
10.62 9.34 -1
11.56 9.12 -1
13.97 14.32 -1
16.59 3.57 -1
10.79 8.24 -1
11.21 5.45 -1
9.90 6.75 -1
12.21 6.36 -1
12.16 8.60 -1
8.87 15.14 -1
4.35 9.19 -1
9.08 9.32 -1
6.01 14.53 -1
15.02 4.41 -1
5.89 7.71 -1
19.65 11.49 -1
14.03 13.31 -1
15.11 17.24 -1
2.25 10.06 -1
12.15 5.00 -1
11.00 10.69 -1
6.43 15.29 -1
4.81 11.90 -1
7.10 14.73 -1
12.67 5.27 -1
20.45 5.71 -1
10.55 5.54 -1
11.47 8.06 -1
8.14 10.26 -1
6.70 9.68 -1
9.35 9.00 -1
13.49 8.51 -1
-1.28 6.54 -1
10.30 9.14 -1
16.38 7.53 -1
10.30 7.90 -1
10.51 10.16 -1
2.73 12.39 -1
11.66 10.85 -1
7.54 11.90 -1
5.46 12.61 -1
12.51 7.17 -1
6.66 3.35 -1
9.59 17.76 -1
16.16 11.92 -1
12.09 8.98 -1
9.99 7.56 -1
9.59 9.50 -1
13.72 7.01 -1
7.48 10.37 -1
8.87 12.02 -1
7.06 12.48 -1
11.28 7.36 -1
11.96 4.09 -1
13.41 9.14 -1
12.47 6.53 -1
9.30 11.48 -1
6.36 13.90 -1
10.91 13.92 -1
9.99 15.38 -1
4.92 11.66 -1
7.37 4.08 -1
8.08 9.84 -1
6.48 9.31 -1
5.24 2.66 -1
12.23 7.51 -1
12.40 13.37 -1
8.13 12.32 -1
12.22 13.67 -1
20.38 8.17 -1
2.57 8.09 -1
11.86 17.88 -1
7.68 13.93 -1
9.45 9.54 -1
7.10 11.32 -1
15.17 16.20 -1
10.61 5.96 -1
18.17 14.82 -1
11.62 1.32 -1
6.07 7.61 -1
6.88 14.35 -1
10.02 8.70 -1
8.32 5.69 -1
8.58 9.85 -1
9.11 6.65 -1
7.17 2.81 -1
21.71 6.09 -1
8.64 11.72 -1
7.00 4.26 -1
14.99 9.54 -1
8.27 3.24 -1
14.58 12.03 -1
3.96 14.35 -1
10.71 9.75 -1
27.25 -2.15 0
24.27 11.91 0
28.16 9.70 0
32.68 7.77 0
29.85 5.86 0
20.90 10.41 0
26.74 9.04 0
27.88 17.77 0
32.72 10.63 0
27.45 7.33 0
31.18 4.79 0
33.92 14.23 0
24.95 4.74 0
31.33 4.85 0
32.27 13.31 0
27.94 12.66 0
31.21 17.44 0
36.39 10.00 0
35.99 13.89 0
35.52 14.75 0
32.74 13.36 0
29.67 6.01 0
26.66 7.34 0
25.68 15.83 0
30.17 14.29 0
28.32 9.34 0
27.66 5.88 0
40.03 11.86 0
30.72 9.40 0
33.33 6.58 0
32.21 8.25 0
35.22 12.88 0
34.85 10.26 0
33.41 13.42 0
34.10 5.48 0
26.70 9.16 0
33.02 12.62 0
27.67 16.08 0
21.86 10.24 0
25.92 18.18 0
30.30 7.81 0
