x1 x2 t
6.26 13.76 1
14.09 9.79 1
4.64 4.93 1
3.38 13.36 1
12.23 3.58 1
5.14 9.25 1
1.64 10.05 1
1.92 5.28 1
2.16 6.67 1
8.33 4.72 1
6.61 5.32 1
11.86 3.12 1
2.69 2.29 1
1.63 7.15 1
2.79 11.29 1
0.28 8.78 1
1.78 6.21 1
9.39 4.13 1
10.18 0.81 1
7.53 0.51 1
0.21 2.32 1
11.32 4.15 1
6.32 10.96 1
10.02 10.95 1
9.52 5.46 1
15.42 6.78 1
15.51 6.95 1
0.27 6.28 1
8.28 3.87 1
6.68 3.00 1
10.96 0.96 1
2.73 11.71 1
9.97 11.51 1
7.38 4.20 1
2.75 5.38 1
2.05 8.25 1
9.41 0.41 1
3.90 3.15 1
3.08 9.60 1
8.89 12.86 1
12.72 5.71 1
14.93 8.08 1
5.02 8.43 1
5.11 9.08 1
2.31 7.48 1
0.99 9.21 1
8.94 10.04 1
7.57 10.27 1
1.57 2.46 1
12.57 10.42 1
15.93 7.64 1
12.49 14.72 1
14.63 11.80 1
4.49 2.22 1
1.33 3.86 1
2.50 12.25 1
10.19 2.21 1
7.50 0.59 1
9.42 5.84 1
8.08 0.41 1
6.14 11.40 1
5.15 12.18 1
1.59 2.15 1
11.20 1.75 1
10.16 1.11 1
9.35 10.57 1
6.85 14.54 1
1.28 10.04 1
0.36 6.00 1
7.30 15.96 1
11.57 3.90 1
5.21 13.25 1
11.04 13.68 1
8.90 7.11 1
13.93 12.15 1
7.30 8.82 1
13.52 11.91 1
4.94 0.26 1
2.06 2.17 1
10.25 0.70 1
0.06 3.80 1
4.01 0.16 1
5.92 0.70 1
6.09 1.70 1
6.10 3.68 1
6.61 0.50 1
12.12 10.73 1
0.96 7.27 1
3.63 12.95 1
12.17 4.18 1
3.62 14.14 1
1.23 0.33 1
5.68 11.53 1
3.06 0.01 1
10.25 2.11 1
7.03 5.37 1
2.13 6.68 1
10.79 0.89 1
9.09 13.59 1
8.94 3.58 1
15.22 14.62 -1
21.07 19.64 -1
15.22 13.36 -1
2.84 20.49 -1
15.30 1.54 -1
16.73 6.01 -1
21.10 16.55 -1
21.42 4.10 -1
20.85 5.27 -1
0.82 16.02 -1
1.88 16.74 -1
21.09 17.50 -1
0.68 17.22 -1
16.89 4.21 -1
0.83 19.51 -1
22.74 9.13 -1
3.40 18.96 -1
12.72 1.36 -1
6.57 21.29 -1
16.42 6.87 -1
15.97 10.88 -1
21.45 5.91 -1
16.11 15.69 -1
13.87 2.38 -1
12.01 24.47 -1
16.56 22.66 -1
14.89 2.70 -1
14.84 13.61 -1
16.28 9.45 -1
9.33 23.48 -1
12.90 24.61 -1
6.14 20.41 -1
23.26 8.79 -1
16.47 7.69 -1
23.60 13.37 -1
22.65 16.46 -1
18.22 3.64 -1
4.59 19.66 -1
18.97 7.25 -1
18.53 21.13 -1
17.22 16.16 -1
20.06 16.10 -1
3.58 14.95 -1
22.67 9.54 -1
4.55 22.34 -1
8.34 18.39 -1
4.63 17.59 -1
16.86 7.29 -1
18.15 8.69 -1
15.62 15.84 -1
20.77 12.91 -1
16.90 12.45 -1
15.49 1.30 -1
20.53 2.46 -1
7.89 23.00 -1
12.98 2.00 -1
4.83 17.63 -1
16.54 5.50 -1
14.97 1.91 -1
0.87 14.73 -1
15.08 15.57 -1
17.25 1.21 -1
10.71 20.19 -1
18.55 13.09 -1
18.99 4.81 -1
23.77 8.09 -1
20.75 11.91 -1
18.58 8.48 -1
14.63 0.91 -1
16.43 12.90 -1
16.01 15.55 -1
12.80 24.79 -1
11.68 19.84 -1
9.94 16.27 -1
17.55 19.79 -1
18.87 2.37 -1
16.05 3.27 -1
18.16 3.01 -1
19.78 8.67 -1
17.21 20.90 -1
18.40 12.85 -1
15.29 18.25 -1
11.54 19.31 -1
21.38 7.89 -1
17.81 0.42 -1
10.76 23.45 -1
0.05 14.96 -1
10.92 19.18 -1
13.57 2.23 -1
0.55 11.99 -1
17.55 15.23 -1
11.17 20.14 -1
11.53 19.45 -1
2.40 20.29 -1
19.30 22.55 -1
18.54 12.28 -1
22.42 8.06 -1
16.58 4.49 -1
16.33 6.96 -1
19.59 7.35 -1
